name,text
Juliana Rotich,juliana rotich is an information technology professional who has developed web tools for crowdsourcing crisis information and coverage of topics related to the environment she is the executive director for ushahidi an opensource software project which uses crowdsourced geolocation mobile phone and web reporting data to provide crisis reporting and information ushahidi is the swahili word for testimony ushahidi was first put into practice during the kenyan presidential election crisis of 20078 it has since been used in chile japan new zealand australia pakistan tanzania and haitijuliana rotich is originally from kenya she has a degree in information technology from the university of missouri and has worked in the it industry for over ten years as a blogger she has authored articles on afrigadgetcom acted as environmental editor of global voices online and participated in the ted global conference in arusha in 2007 as a public speaker she is known for her commentary on technology in africa and voicing concerns about the loss of indigenous forest and water catchment areas in kenya she is a senior ted fellowin 2011 juliana rotich was named schwab foundation social entrepreneur of the year in africa by the world economic forumin 2014 rotich presented at the annual design indaba conference in cape town
Mary O\'Neill,mary oneill is a politician and former member of the legislative assembly of albertaoneill graduated from the university of toronto with a bachelor of arts and subsequently received her teaching certification from the ontario college of education she taught in both public and private schools after retiring from teaching she worked as a realtor and served as a school trustee with the greater st albert catholic schoolsin the 1997 provincial election oneill was the progressive conservative candidate in the riding of st albert where she faced liberal incumbent len bracko in the closest race of the election oneill defeated bracko by 16 votes in a rematch during the 2001 election oneill increased her lead over bracko to more than two thousand votes in her successful bid for reelectionin office oneill was best known for sponsoring the school trustee statutes amendment act 2002 which proposed to prohibit teachers from serving as school trustees anywhere in the province at the time teachers were only prohibited from serving as trustees in the district in which they taught the act was passed by the legislature but was struck down as contravening the charter of rights and freedoms by the alberta court of queens bench two years later oneill also served as a member of one of the ralph klein governments truth squads formed to defend the governments highly controversial health care protection act bill 11 she chaired the 2000 fees and charges review committee which made recommendations on a wide variety of governmentassessed feesin the 2004 provincial election oneill was defeated by liberal jack flaherty since her defeat she has served on the university of alberta senate on the northern alberta institute of technology board of governors and as the executive director of the glenrose rehabilitation hospital foundation she has remained politically active organizing the first debate of the 2006 progressive conservative leadership election and endorsing brent rathgeber in his bid to secure the conservative party of canada nomination in edmontonst albert in may 2007 oneill quelled speculation that she would run in the next provincial election stating that she wasnt interested
Tiger Woods,eldrick tont tiger woods born december 30 1975 is an american professional golfer who is among the most successful golfers of all time he has been one of the highestpaid athletes in the world for several yearswoods turned professional in 1996 and by april 1997 he had already won his first major the 1997 masters in a recordbreaking performance winning the tournament by 12 strokes and pocketing 486000 he first reached the number one position in the world rankings in june 1997 through the 2000s woods was the dominant force in golf spending 264 weeks from august 1999 to september 2004 and 281 weeks from june 2005 to october 2010 as world number one from december 2009 to early april 2010 woods took leave from professional golf to focus on his marriage after he admitted infidelity his many extramarital indescretions were revealed by several different women through many worldwide media sources this was followed by a loss of golf form and his ranking gradually fell to a low of no 58 in november 2011 he ended a careerhigh winless streak of 107 weeks when he captured the chevron world challenge in december 2011 after winning the arnold palmer invitational on march 25 2013 he ascended to the no1 ranking once again holding the top spot until may 2014woods has broken numerous golf records he has been world number one for the most consecutive weeks and for the greatest total number of weeks of any other golfer he has been awarded pga player of the year a record eleven times the byron nelson award for lowest adjusted scoring average a record eight times and has the record of leading the money list in ten different seasonshe has won 14 professional major golf championships the second highest of any player jack nicklaus leads with 18 and 79 pga tour events second all time behind sam snead who had 82 wins he has more career major wins and career pga tour wins than any other active golfer he is the youngest player to achieve the career grand slam and the youngest and fastest to win 50 tournaments on tour additionally woods is only the second golfer after jack nicklaus to have achieved a career grand slam three times woods has won 18 world golf championships and won at least one of those events in each of the first 11 years after they began in 1999 woods and rory mcilroy are the only golfers to win both the silver medal and the gold medal at the open championship
Vincy Chan,vincy chan born 16 october 1982 is a hong kong cantopop singer before the handover of 1997 when hong kong was returned from great britain to china her family left hong kong and went to singapore when she was a child she was signed by emperor entertainment group and debuted with the album vincy on 27 july 2006she attended the dunman high school in singapore chan was amongst the top 24 contestants in project superstar a singaporean singing competition held in june 2005 after graduating from nanyang technological university she was also the runnerup and won the award most popular image in emperor entertainment groups new talent singing awards in 2005 later on she became more wellknown amongst the hong kong public when her song my feelings chinese a cantonese rendition of freya lins debutedchan released the studio album flowers without snow chinese in february 2007 in which a song of eponymous title is the cantonese version of mika nakashimas yuki no hanain 2007 she performed at the success charity gala in vancouver british columbia canada with various artists chans latest album released october 15 2007 was titled close to you which included a cover version of the carpenters they long to be close to youafter the close to you tour ended at the beginning of 2008 vincy released her third and selftitled album on june 4 2008 this album also marks her first mandopop album since her only previous 2 albums featured cantonese popin 2008 vincy appeared in both new talent toronto june 21 and new talent calgary june 22 in canada at both occasions vincy performed her new hit mandarin song its very tiring to like a person and several other hits
Diane E. Beaver,diane e beaver is an american lawyer and former officer in the united states armyin october 2002 when beaver worked for the armys judge advocate general corps she drafted a legal opinion advocating for the legality of harsh interrogation techniques that were being proposed for use at guantanamo includingwaterboardingexposure to extremes of temperaturethe use of noninjurious physical contact andscenarios designed to convince the detainee that death or severely painful consequences are imminent for him andor his familyshe also advised that category ii and iii methods the harshest undergo a legal review prior to their commencementin a meeting in october 2002 beaver warned her fellow officers to make sure that observers from the international committee of the red cross icrc not observe the use of the harsher interrogation techniques the jtf might need to curb the harsher operations while icrc is around it would be better not to expose them to any controversial techniques they will be in and out scrutinizing our operations unless they are displeased and decide to protest and leave this would draw a lot of negative attentionafter leaving the army beaver was hired by the united states department of defensebeaver testified before the senate armed services committee on june 17 2008the final paragraph of the written statement she submitted to the committee readbeaver was one of the four individuals profiled in the 2009 documentary the guantanamo trap
Jimmy Kemp,jimmy kemp born june 27 1971 is a former cfl quarterback he is the brother of former nfl quarterback jeff kemp and the son of the late american football league most valuable player and us congressman jack kemp after a successful career at marylands winston churchill high school he played sparingly in his first two seasons at wake forest university including one as a redshirt before becoming the teams starter during his junior year after graduating he was signed by the sacramento gold miners of the canadian football league he was the teams third string quarterback behind david archer and kerwin bell before moving up to second string when bell left for the edmonton eskimos before the 1995 season he got his first start on july 26 1995 for the now san antonio texans when starter david archer went down he competed with former buffalo bills and tampa bay buccaneers starting quarterback joe ferguson for playing time until archer returned in late august in 1996 he split his time campaigning with his dad who was the republican party vice presidential nominee and playing football in 1998 when he once again replaced david archer as starter this time with the edmonton eskimos he split the toronto argonauts starting quarterback position with kerwin bell during the 2000 and 2001 cfl seasons before missing the entire 2002 season due to a contract hold out after the argonauts refused to pay his moving expenses
Simon Yeo,simon john yeo born 10 october 1973 in stockport england is an english former professional footballer who played as a forward from 1997 to 2011yeo a former member of the british army is most well known for his time at lincoln city where he spent two spells with the club between 2002 and 2006 yeo was part of the side managed by keith alexander that were defeated in the league two playoff final several times before his spells at sincil bank yeo had played in northern ireland for ards and coleraine at nonleague level for curzon ashton hyde united and atherton collieries in 2005 he left lincoln for the first time after he was scouted by newly formed aleague side new zealand knights and became one of the clubs marquee signings his stay was only brief and he had returned to lincoln only months later in 2006 he followed keith alexander firstly to peterborough united and later chester city bury and macclesfield town in 2009 he returned to nonleague football by joining conference north side droylsden before later joining harrogate town and new mills in 2011 he retired from competitive football but following the sudden death of alexander who was then manager of macclesfield he resigned for the club yeo went back into retirement a few months latersince retiring yeo has continued to keep close links with lincoln city and has appeared in several charity games
Merton (YouTube),merton is an american youtube musician and personality who first gained press attention in march 2010 after making videos of himself interacting with people he meets on chatroulette and omegle in the videos merton sits at a piano and improvises songs about either his observations of the people he is meeting or story ideas suggested by themmertons first video garnered more 5 star ratings than any other youtube video in history making it the highest rated youtube video ever his musical style has been compared to randy newman and ben foldsmerton lives in colorado his real name is unknown he is a selftaught pianistthere was speculation that merton was in fact ben folds while the two have similarities in appearance and music style both have denied being the same person folds has in fact performed an homage to merton at a concert where he similarly improvised songs while meeting people on chatroulette on a later video of mertons ben folds and merton appeared together proving that they are not the same personmerton previously hosted his own show on wwwmertonshowcom it was a live interactive webcam show where he continued his improvisation as he did on chatroulette shows were every wednesday at 10 pm eastern time sometimes there was an international show at 2100 gmt 4 pm eastern merton was later hired by tmobile to do some public events in the united kingdom on november 24 2010 he played in gatwick airports south terminal greeting international arriving passengers with his improv piano playingas of 112014 merton is still doing his live interactive comedy show at httpwwwmertonshowcomas of august 2014 merton announced a hiatus from his showas of december 31 2014 the whereabouts of merton is unknown
Pacha Wazir,haji pacha wazir is an emirati citizen who ran a series of hawala banks before being arrested in 2003 amid accusations that he worked as the main banker for osama bin ladenthe canadian security intelligence service alleges that mohamed harkat was recorded on the phone with a haji wazir whom handled financial transactions for him and described his bid to gain permanent resident status in canadaaccording to rob suskind when wazir was arrested and sent to a central intelligence agency black site he proved uncooperative and american officials illegally transferred his brother from germany to the same site and arrested his branch manager in karachi members of the american central intelligence agency posed as distant cousins taking over the business after wazirs illness and continued financial transactions entrapping many of his colleagues as wellhowever in his book the interrogator an education glenn carle contradicts the claims suskind made about wazir carle was the cia officer who handled the interrogation of wazir and according to his account carle concluded after the interrogation that wazir cooperated and told the truth about his operations reporting on wazirs story after the publication of carles book scott horton for harpers magazine concludes the suggestion that pacha wazir was consciously managing bin ladens financial affairs was then and remains today utterly baseless perhaps the most shocking part of carles account is that his conclusions about wazir were ignored by his superiors at the cia as a result it was not until february 2010 was wazir released and sent home to afghanistan
Sam Ewang,group captain sam ewang was appointed military administrator of ogun state nigeria from august 1996 to august 1998 during the military regime of general sani abacha and then administrator of rivers state until may 1999 handing over power to the elected governor peter odili at the start of the nigerian fourth republicewang ran for governor of akwa ibom in april 2007 on the all nigeria peoples party anpp platform after the election he accused the peoples democratic party pdp and independent national electoral commission inec of rigging the resultsin november 2007 the anpp declared that the purported suspension of ewang its governorship candidate for akwa ibom state in the 2007 general elections was illegalin a june 2009 interview ewang held the present government of akwa ibom responsible for the recent spate of kidnappings robbery and hired killings accusing government agents of being involvedin february 2010 chris nyong ekong former commissioner for youths and sports in akwa ibom was arraigned for kidnap conspiracy and murder there had been a series of recent kidnappings ewang alleged that prominent ibibio people were being targetedewang is one of the leaders of the national democratic movement ndmin january 2010 the ndm was involved in talks with the mega party being planned by mohammadu buhari atiku abubakar olu falae bola tinubu and anthony enahoro with the purpose of defining a common platform to oppose the pdpewang was appointed to an integration committee that also included olu falae balarabe musa pat utomi and arthur nwakwo charged with ensuring the full coalition of all the parties and eminent stakeholders
Kenny Vasoli,kenneth robert kenny vasoli born may 20 1984 in abington pennsylvania is the lead singer and bassist of the starting line and vacationer vasoli attended hatborohorsham high school at the age of 14 he was invited to join the band after matt watts read his aol instant messenger profile his previous bands include the prize fight and smash adams in early 2004 vasoli also had a shortlived sideproject called statue with members of the prize fight and inklingon september 29 2010 it was announced on say anythings website that vasoli would be playing bass for them on their upcoming fall tour with motion city soundtrack and saves the day replacing exbassist alex kentkenny has performed guest vocals and played bass for many artists including the early november hot rod circuit the prize fight death in the park shadows in lakeland the almost the junior varsity hit the lights zolof the rock and roll destroyer mae valencia and say anything he provided guest vocals on the song so close by the pop punkhardcore band such gold from their 2010 release pedestals he is also the lead vocalist and guitarist in person l and most recently vacationer vasoli wrote a song titled yule be sorry with aaron gillespie the almost underoath for happy christmas vol 4 a collection of christmas songson may 28 2011 at slam dunk records leeds music festival the starting line played a 50minute set during which kenny vasoli announced people keep asking us when were getting back together and the answer i have is yesterday and what happens when bands get together they write music so we have a new song for you the song is entitled luck this announcement from vasoli finally puts to an end any speculation that the band were just back together for the occasional show his current band vacationer spent the spring of 2012 touring with the naked and famous
Anand Tummala,anand tummala born 21 october 1978 in vuyyuru andhra pradesh india also known as t anand is a cricketer for the united statesanand first appeared in the united states national cricket team as an allrounder in 2011 in the etihad t20 cricket tournament hosted by cricket canada in king city ontario 1113 august 2011 anand made an impression with his debut bowling figures of 3 over 1 maiden 10 runs 2 wickets against arch rivals canada anand bowled exceptionally well against trinidad tobago in the second match with figures of 2 for 24 in 4 oversanand went on to be part of usa cricket team in the historical ka auty trophy 2 day match played on 15 16 august 2011 held at toronto cricket skating curling club which dates back to 1844 between usa canada anands performance in the ka auty trophy was excellent with match bowling figures of 25 overs 97 runs 3 maidens and 3 wickets anand scored 88 runs in the match with 63 being his highest in the second innings which almost won the game for usaanand also played firstclass cricket in india ranji trophy for delhi in 200102 has also played premier league cricket in gwent glamorgan uk he completed his schooling from sardar patel vidyalaya new delhi college from st stephens college delhi universityanand also acquired his level i and level ii cricket coaching certifications from the england wales cricket board during his stay at the university of wales newport where he completed his mba in 2007 anand was appointed coach captain for the university of wales newport cricket team also went on to be signed as senior coach player for croesyceiliog cricket club in south wales premier league gwent glamorgan ukanand has also worked closely with bishan bedi former indian team coach captain while he represented bishan bedi cricket coaching trust teams in england australiaanand now plays for north atlanta cricket club in the atlanta georgia cricket conference agcc he has also represented south east region of usa where he has performed exceptionally wellreferences
Logan Sama,logan sama is an english grime dj from brentwood essex who currently hosts a show on londons kiss fm he also runs the record labels adamantium music and earth616 which specialise in vinyl releaseshe began his radio career on local pirate station plush fm hosting several cover shows playing underground garage in 2002 towards the end of 2002 he was recruited to london thenpirate station rinse fm where his show became a popular place to hear the newest music and regularly featured the biggest mcs performing live his last rinse show was captured on video on the rinsessions dvd and showcased such names as wiley skepta trim ruff sqwad tinchy stryder newham generals and many othershe moved to londons kiss 100 in the spring of 2005 and began a late night specialist grime show running from 24am on thursday nightfriday morning the popularity of this show soon saw it move to monday night 11pm1am where it has steadily grown to its current position as the leading show amongst young people within london at that time capturing over 61000 listeners in the greater london area as certified by rajar his exposure of live mix sets and first played new tracks has led to him becoming the leading figure in radio for grime music his shows are now also captured on video and streamed as youtube clips which have proved very popularthe show now is broadcast at 1am on monday and has become very popular on social networking site twitter using the hashtag kissgrime which has trended nationally with great frequency new additions to the show the versus sessions where an artist picks their favourite current beat and performs live as well as the after hours classic grime sets are also made available via his youtube channel keepinitgrimylogan has achieved a position of respect in the grime scene for his work since the foundations of the genre and this has been reflected with the multiple grime awards he has collected voted for by the fans he currently holds the record for most awards won by a single act with 7 separate wins
John Bienenstock,doctor john bienenstock b october 6 1936 is a hungarianborn canadian doctor he is considered one of the fathers of mucosal immunologyborn in budapest of jewish parents he escaped to england in 1939 with his parents he was educated at st pauls school in london and continued his studies at the university of london bienenstock came to the united states to pursue research projects but left for canada during the vietnam war rather than be drafted as an army doctor he joined mcmaster university in 1968 he served as dean of health sciences as vicepresident of the faculty of health sciences and as chair for the department of pathology and molecular medicine at mcmaster he has also served as president of the canadian society for immunology and of the society of mucosal immunology more recently he became head of the brainbody institute at st josephs healthcare hamiltonbienenstock introduced the concept of a common mucosal immune system he also studied the interactions between the nervous and immune systemshe is a member of the royal college of physicians uk bienenstock was named a fellow of the royal society of canada in 1992 and was named to the order of canada in 2002 bienenstock was inducted into the canadian medical hall of fame in 2011
Benjamin Diokno,benjamin diokno born march 31 1948 was secretary of budget and management of the philippines in the administration of president joseph estrada from july 1998 until estradas ouster in january 2001 diokno also served as undersecretary for budget operations at the department of budget and management from 1986 to 1991 during the administration of president corazon aquinoduring the aquino administration diokno provided technical assistance to several major reforms such as the design of the 1986 tax reform program which simplified income tax and introduced the valueadded tax vat and the 1991 local government code of the philippinesduring the estrada administration diokno initiated and instituted several reforms that would enhance transparency and improve the efficiency of the delivery of government services the first major reform instituted was the what you see is what you get or wyswig policy that is a simplified system of fund release for the general appropriations act gaa this allowed agency heads to immediately plan and contract out projects by just looking at the gaa which is available in print and at the dbm website without waiting for the issuance of an allotment authority diokno initiated the reform of the government procurement system gps through the adoption of rapidly improving information and communications technology he secured technical assistance from the canadian international development agency cida to help the gps develop an electronic procurement system along the lines of the canadian model by august 1999 the dbm had two documents necessary to initiate reforms in public procurement in early 2000 diokno and usaid successfully concluded a substantial technical assistance program for the dbms budget reform programs which now included procurement reform other budget reforms instituted by diokno concerned procedures for payment of accounts payable and terminal leave retirement gratuity benefits the release of cash allocation were programmed and uploaded to the departments website while payments were made direct to the bank accounts of specific contractorthe growing budget deficit was of large concern during dioknos tenure with the national economic and development authority director citing it as the governments biggest problem the government ended 1999 with a budget deficit of p114 billion overshooting its target of p101 billion which had previously been increased from an original target of p684 billion the government missed its target by a far wider margin the next year set an original deficit target of p625 billion for 2000 yet occurring a fullyear deficit of p130 billion this is higher than the p1265 billion worstcase scenario figure from the international monetary funddiokno is currently a professor at the university of the philippines school of economics he is also a columnist for business world he was born in taal batangas
Stu Pflaum,stuart pflaum better known as dj xplosive is an american music industry figure and digital music pioneer pflaum was born june 29 1981 in nashville tn based in new york city pflaum previously worked as consultant to street teams and lifestyle promotions at asylum records and warner music group pflaum founded the element 9 company in 2005 to assist in the development of independent musicians 1in 2007 pflaum began working with teen hiphop sensation soulja boy tellem as his music publisher and head of online promotions at the age of 26 pflaum was nominated for a grammy award for his role in publishing soulja boys material 2pflaum published the hiphop stimulus plan in february 2009 a series of writings that explore the role of the internet in the modern music industry 3 in november 2009 the element 9 company partnered with fontana distribution the independent distribution arm of universal music group to release albums from artists signed to the companys record label 4 pflaum will serve as vice president for the label in 2010 element 9 announced a deal with blacksmith records to release a series of albums with the label headed by talib kweli their first release will be the album arms hammers by west coast hip hop trio strong arm steady 5 the album will be released in february 2011
Kamran Shirazi,kamran shirazi born 21 november 1952 is an international master of chess born in tehran he has represented iran the united states and france he moved to the united states in the late 1970s and quickly became one of the most active players in the country winning many tournaments including the southern california open five times the world open tied for first in 1983 the national open tied for first in 1985 and the memorial day classic tied for first in 1986he was known for playing strange and unorthodox openings shirazis rating rose rapidly and he became one of the highest rated players in the united states chess federation however when invited to play in the 1984 us chess championship shirazi managed only one draw from 17 games finishing last in that championship shirazi also achieved the dubious distinction of losing the shortest decisive game in the history of the us championship his game as white against john peters which went 1e4 c5 2b4 cxb4 3a3 d5 4exd5 qxd5 5axb4 qe5 01he subsequently made an appearance in the movie searching for bobby fischer he is introduced as grandmaster shirazi but his actual title is international master awarded in 1978as of 2006 shirazi had been living in france for several years he is still an active tournament player and also gives lessons he changed his fide federation from the usa to france in 2006on the september 2009 fide list he has an elo rating of 2410
Tony Barber (musician),anthony arthur barber known as tony barber born 3 december 1942 norwich norfolk is an englishborn australian public speaker and a diverse innovative creator musiciansingersongwriterauthorplush toy designergift and craft tool product designer paper sculpturist artist teacher and mentor he arrived in australia in 1963he was a member of the band billy thorpe the aztecs in the 1960s and then as a solo artist he wrote 35 childrens books under the name a a barber and tony barber and appeared on the childrens television show the music shop as tony the toymaker in 2009 he theorized that if you were to re design the traditional a and h frame easels to a stage where you removed all the visual and physical impediments and barriers that those easels place in front of an artist not only would all artists feel better when they painted but their art would actually improve he then proceeded to prove this theory to be true by inventing a totally new type of easel he called the artristic easel artists that use it say it is a revolutionary and indispensable piece of artists equipment and is the most versatile easel in the history of art a popular fantasy character he created named designed the soft toy of and that appeared in many of his books was taken and used to name the australian baby echidna
Ellie Paskell,ellie paskell born 1986 in prestwich greater manchester is a british actress who trained at guildford school of acting she began acting when aged 11 she joined the carol godby theatre workshoppaskell is best known for playing maxine barlow in the bbc one hit series waterloo road she joined the show at the start of 2007 early in series 2 as a 15yearold dropout who was living rough as a drug addict and was introduced to the series at the girlfriend of expelled pupil lewis seddon played by craig fitzpatrick the character returned to school and was involved in numerous high profile storylines including exposing her mothers boyfriend as a serial sex attacker moving into the home of french teacher steph haydock played by denise welch overcoming drug addiction the tragic find of a babys body in the school playing field which turned out to be maxines her character met a tragic end in series 4 when maxine was fatally shot by boyfriend earl kelly played by reece noion stage paskell has performed in one night in november she also played a minor part in the second series of ashes to ashes since then she appeared in casualty as a youth who was hurt in an explosion and also as julie stanlake a teenager who gave birth early and dumped her baby in a dustbin in another episodeshe also worked with david threlfall and the rest of the shameless cast when she filmed three episodes of the hit comedy drama as bubbly sammy dee she played a teaching assistant at brecknock primary school in london and had a small role in the bill as a drug addict who sold her baby
Abbas Suan,abbas suan sometimes spelled suwan or swan arabic hebrew born january 27 1976 is an arabisraeli footballer from sakhnin in the galilee as a footballer he was considered by many as one of the best arabisraeli playershe became a national hero in 2006 for scoring the gametying goal in the 90th minute of a world cup qualifying match against irelandin 2006 suan signed a twoyear contract with maccabi haifa but later moved to premier league newcomers ironi kiryat shmona he returned to play for his original club bnei sakhnin on august 29 2005 suan was featured in an expos in sports illustrated by grant wahl into the minorities that play on the israel national football team suan has been the target of racism at football matches in israel during a match between bnei sakhnin and betar jerusalem betar fans waved a giant banner saying suan you dont represent us and shouted we hate all arabs suan is also a featured subject of the documentary film after the cupsons of sakhnin united which chronicled the team and suans life after winning the israeli national cupaside from his club contract he has many endorsement deals suan currently is the spokesperson for subaru motor vehicles in israel although a devout muslim suan has no trouble embracing jewish culture in israel however he has a mixed sense of identity saying that i am a palestinian because i have a lot of brothers and cousins in the arab countries and i am israeli because i live here and dont go out of my lands during international football matches suan is one of two arab players who refuse to sing during the playing of hatikvah israels national anthem because it mentions only jews he was featured in a journeyman pictures documentary on arab citizens of israel
Kenneth F. Warren,dr kenneth f warren is an authority on politics public administration and administrative law within the united states warren is a professor of political science at saint louis university and the president of the warren poll warren has polled for various media government and political clients including former house minority leader richard gephardtwarren served as a political analyst for local national and international media for over 20 years he has appeared live on cnn cbs abc msnbc bbc cbc swedish television and fox news the new york times st louis post dispatch the washington post usa today the times the wall street journal the new republic the national journal the economist and time magazine have used warrens work as a political analyst frequently warren appears as a political analyst on national public radio nprwarren authored in defense of public opinion polling which became globally popular after its release in 2001 and administrative law in the american political system published originally in 1982 with a fourth edition published in 2004warren as president of the warren poll has been conducting surveys for political candidates cities school districts nonprofit organizations states the media and private clients since 1980 and has specialized in community surveys since the late 1980s conducting citizen surveys as well as employee and business surveys for many cities in the st louis areadr kenneth f warren received his phd from the university of massachusetts amherst
"Constantine Phipps, 5th Marquess of Normanby",constantine edmund walter phipps 5th marquess of normanby born 24 february 1954 is the son of oswald phipps 4th marquess of normanby and grania guinness he was educated at worcester college oxfordlord normanby lives at mulgrave castlein 1990 he married nicola shulman daughter of theatre critic milton shulman and sister of british vogue editor alexandra shulman and had three childrenlady sibylla victoria evelyn phipps b 6 august 1992john samuel constantine phipps earl of mulgrave b 26 november 1994lord thomas henry winston phipps b 3 june 1997he succeeded his father in the marquessate in 1994 and entered the house of lords as a crossbencher he lost his seat under the house of lords act 1999in 1998 he sold the 10600acre 43 km2 warter priory estate near pocklington east riding of yorkshire to businessman malcolm healey for 48 million in 2003 supermodel elle macpherson took out a lease on the 16000acre 65 km2 mulgrave estate in north yorkshire considered one of englands finest shooting estates including the right to live in the familys ancestral home mulgrave castle during the fourmonth shooting season the 5th marquess was ranked 279th in the sunday times rich list 2004 with an estimated wealth of 143m his indirect wealth includes a sizeable interest in property in west vancouver canada via british pacific properties ltdjohn samuel constantine remains the heir apparent and will take up permanent residence in mulgrave castle upon the death of his father
Wendy M. Grossman,wendy m grossman born january 26 1954 new york city is a journalist blogger and folksinger she graduated from cornell university in 1975 and riverdale country school in 1971 she was a fulltime folksinger from 197583 and her folk album roseville fair was released in 1980 and mp3s from it are available on her web sitein 1987 she founded the magazine the skeptic in the united kingdom and edited it for two years resuming the editorship in 19992001 as founder and editor she has appeared on numerous uk tv and radio programmesher credits since 1990 include work for scientific american the guardian and the daily telegraph as well as new scientist wired and wired news and the inquirer for which she wrote a regular weekly netwars column that column continues in newswireless and on her own site every friday she was a columnist for internet today from july 1996 until it closed in april 1997 and together with dominic young ran the fleet street forum on compuserve uk in the mid1990s she also sometimes writes about tennisshe edited an anthology of interviews with leading computer industry figures taken from the pages of the british computer magazine personal computer world entitled remembering the future it was published in january 1997 by springer verlag her 1998 book netwars was one of the first to have its full text published on the web she was a member of the external advisory board of the intellectual property and law centre at edinburgh university the board was disbanded after the centre became established she was president of the cornell folk song club the oldest universityaffiliated studentrun folk song club in the us from 1973 to 1975she sits on the executive committee of the association of british science writers and the advisory councils of the open rights group and privacy international in february 2011 grossman was elected as a fellow of the committee for skeptical inquiry
Lisa C. Klein,lisa c klein born 1951 is an american engineer graduate director at rutgers university and president of the american association of university professors aaup at the university she has made many breakthroughs in engineering kleins research focuses on the area of solgel science a lowtemperature process for making ceramic coatings her most important contribution to science has been the development of electrochromic window coatings that can be lightened or darkened through the use of a dimmer attached to a battery this window coating is unique because it is manually controlled and can reflect the heat away while still transmitting light in the summer or permit the solar heat in winter this new development is more efficient than blinds curtains or tinted windows and can save on heating and cooling costs in the home or officeklein is also noteworthy for her status at rutgers university she was the first female faculty member in the rutgers school of engineering 1977 the first female faculty member in the department of materials science and engineering the first female faculty member elevated to the distinguished pii rank and as of january 2008 the only female professor in the department as president of the rutgers aaup chapter klein also concluded groundbreaking negotiations that lead to novel methods for expanding the number of tenure track faculty at rutgers that have been cited as potential models for faculty efforts to halt the attrition in numbers of tenure track faculty
Derek O\'Brien (drummer),derek shawn obrien fullerton california is a drummer and producer engineer who has been involved with many bands and projects throughout his careerhe started his career while still at fullerton high school playing with the school jazz band marching band and orchestras led by ron perry and played in rock cover bands by night with guitarists stan de witt and frank agnew while still in high school he joined local punk rock band social distortion and was considered to be the groups first real and consistent drummer 19811984 his recordings with the band include the first ep 1945 single playpen byo compilation song mass hysteria and first full length album mommys little monster he was also featured in the cult classic documentary another state of mindobrien was also involved in di which featured many former members of social distortion and the adolescents he played on their 1983 ep di which was later rereleased as team goon on triple x records derek performs as the drummer for di in the film suburbia and is part of dis 1983 selfpromotional video suburbia sessionsbassist brent liles and obrien would again be bandmates from 1989 to the early 1990s with agent orange touring north america and recording real live sound agent orange live at the roxyin 1992 exsinger of geffen recording artist lockup featuring tom morrelo who later formed rage against the machine enlisted obrien to join the singer brian grillo split up the group to form a new band extra fancy featuring guitarist michael hately and bassist david foster in 1995 extra fancy recorded a full length album for atlantic records sinnerman and an independent ep no mercy which has several songs featured in movie soundtracks extra fancy continued until 1997from 2001 to 2008 he played drums sang vocal harmonies wrote songs with the adolescents producing their first album in 10 years o c confidential during that time the adolescents toured extensively in north america europe japan headlining the house of blues circuit the el rey and many festivals as well as direct support for artists such as red hot chili peppers weezer nofx and many othersother bandsprojects in which obrien has played drums with over the years include punk rock karaoke dragbeat front row for the meltdown featuring film composer jeremy little the generators second chance miss derringer and others he and mike ness have long since settled their differences and though they are no longer bandmates they remain friendsobrien studied at ucla for a degree in audio engineering and in 2000 founded dob sound recording studios in glendale ca in 2009 he relocated the studio to santa fe springs ca and now offers recording mixing mastering rehearsals a course in audio engineering and private drum lessons obrien still finds time for short international tours local gigs and studio drummingderek obrien has worked in the studio with recording artists including lucinda williams flogging molly fishbone adolescents miss derringer tony gilkyson x charmaine clamour award winning jazz artist ted russel kamp shooter jennings band coldwater canyon band chart topping country artist punk rock karaoke jeremy little film composer and many many others
Peter Doran,peter doran phd is professor of earth and environmental sciences at the university of illinois at chicagodoran specializes in polar regions especially antarctic climate and ecosystems doran was the lead author of a research paper about antarctic temperatures that was published in the journal nature in january 2002 because he and his colleagues found that some parts of antarctica had cooled between 1964 and 2000 his paper has been frequently cited by opponents of the global warming theory such as ann coulter and michael crichton in an opinion piece in the july 27 2006 new york times doran characterized this as a misinterpretation and stated i have never thought such a thing i would like to remove my name from the list of scientists who dispute global warming the temporary phenomenon is related to the hole in the ozone as the hole heals the antarctic will dramatically warm quickly doran and his grad student maggie kendall zimmerman also published a paper in the jan 27 2009 issue of eos showing that active climate researchers almost unanimously agree that humans have had a significant impact on the earths climate both an antarctic stream and glacier were named for doran by the us geological survey to commemorate his many significant research contributions conducted on the continent
